season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank,endpoint,input_season,input_measure
2009-10,1610612749,MIL,Milwaukee Bucks,0020901218,2010-04-14T00:00:00,MIL @ BOS,W,48.0,122.5,121.8,108.9,108.0,13.6,13.9,0.625,3.13,20.3,0.273,0.773,0.523,0.092,0.57,0.592,86.9,87.5,72.92,87,0.561,1,1,1,1,145,213,1368,383,666,81,306,1536,405,789,133,368,515,2167,730,teamgamelogs,2009-10,Advanced
2009-10,1610612737,ATL,Atlanta Hawks,0020901217,2010-04-14T00:00:00,ATL vs. CLE,W,48.0,102.6,104.2,87.5,87.4,15.1,16.8,0.605,1.37,19.7,0.316,0.75,0.558,0.2,0.557,0.572,95.7,95.0,79.17,95,0.63,1,1,1,1,145,1430,86,278,848,1457,405,1011,618,286,2196,494,757,895,235,teamgamelogs,2009-10,Advanced
2009-10,1610612764,WAS,Washington Wizards,0020901227,2010-04-14T00:00:00,WAS vs. IND,W,48.0,98.1,100.0,97.9,99.0,0.2,1.0,0.541,1.0,15.5,0.286,0.736,0.537,0.204,0.506,0.551,99.5,98.0,81.67,98,0.553,1,1,1,1,145,1738,643,1199,1419,2064,1459,1363,813,556,2240,1086,1085,437,799,teamgamelogs,2009-10,Advanced
2009-10,1610612759,SAS,San Antonio Spurs,0020901220,2010-04-14T00:00:00,SAS @ DAL,L,48.0,89.2,89.9,96.7,97.0,-7.5,-7.1,0.486,1.64,14.0,0.236,0.764,0.5,0.111,0.418,0.446,99.6,99.0,82.5,99,0.464,1,1231,1231,1231,145,2297,510,1642,1880,981,1886,1950,506,1172,364,2236,2361,343,1512,teamgamelogs,2009-10,Advanced
2009-10,1610612740,NOH,New Orleans Hornets,0020901221,2010-04-14T00:00:00,NOH @ HOU,W,48.0,128.1,128.1,116.2,119.8,11.9,8.3,0.549,2.0,21.5,0.194,0.702,0.5,0.146,0.694,0.707,97.5,96.0,80.0,96,0.549,1,1,1,1,145,80,2160,714,1356,510,164,2288,1216,1172,1141,6,10,717,835,teamgamelogs,2009-10,Advanced
2009-10,1610612761,TOR,Toronto Raptors,0020901226,2010-04-14T00:00:00,TOR vs. NYK,W,48.0,133.7,135.1,114.8,116.5,18.9,18.6,0.538,2.55,21.5,0.233,0.611,0.476,0.113,0.694,0.72,98.2,97.0,80.83,97,0.634,1,1,1,1,145,14,1992,227,1436,239,164,1976,2186,1688,407,6,6,575,214,teamgamelogs,2009-10,Advanced
2009-10,1610612751,NJN,New Jersey Nets,0020901222,2010-04-14T00:00:00,NJN @ MIA,L,58.0,86.8,87.8,94.0,95.9,-7.2,-8.2,0.414,0.6,9.4,0.327,0.695,0.518,0.204,0.394,0.457,82.4,81.1,67.59,98,0.464,1,1231,1231,1231,3,2367,422,1729,2251,2438,2417,848,1324,874,2240,2362,2293,2451,1516,teamgamelogs,2009-10,Advanced
2009-10,1610612738,BOS,Boston Celtics,0020901218,2010-04-14T00:00:00,BOS vs. MIL,L,48.0,108.9,108.0,122.5,121.8,-13.6,-13.9,0.639,2.56,19.5,0.227,0.727,0.477,0.102,0.526,0.557,86.9,87.5,72.92,88,0.439,1,1231,1231,1231,145,1089,2248,2078,578,230,446,2040,894,1665,249,854,981,2167,1730,teamgamelogs,2009-10,Advanced
2009-10,1610612760,OKC,Oklahoma City Thunder,0020901224,2010-04-14T00:00:00,OKC vs. MEM,W,48.0,121.3,120.0,106.6,110.5,14.7,9.5,0.595,1.79,19.1,0.275,0.673,0.494,0.147,0.595,0.633,96.3,95.0,79.17,95,0.548,1,1,1,1,145,285,1583,628,916,751,514,1514,1580,1361,1186,226,203,895,850,teamgamelogs,2009-10,Advanced
2009-10,1610612754,IND,Indiana Pacers,0020901227,2010-04-14T00:00:00,IND @ WAS,L,48.0,97.9,99.0,98.1,100.0,-0.2,-1.0,0.455,1.0,11.8,0.264,0.714,0.463,0.153,0.416,0.5,99.5,98.0,81.67,98,0.447,1,1231,1231,1231,145,1815,658,1262,2080,2064,2246,1637,1053,1901,1323,2248,1874,437,1662,teamgamelogs,2009-10,Advanced
2009-10,1610612753,ORL,Orlando Magic,0020901225,2010-04-14T00:00:00,ORL vs. PHI,W,48.0,131.9,134.4,119.9,120.7,11.9,13.8,0.429,1.75,16.9,0.324,0.744,0.558,0.129,0.665,0.688,93.7,92.5,77.08,93,0.546,1,1,1,1,145,19,2198,388,2184,797,1045,918,711,284,706,24,29,1313,874,teamgamelogs,2009-10,Advanced
2009-10,1610612766,CHA,Charlotte Bobcats,0020901219,2010-04-14T00:00:00,CHA vs. CHI,L,48.0,93.3,97.8,106.5,107.7,-13.3,-9.9,0.625,1.54,16.0,0.32,0.619,0.457,0.143,0.419,0.487,93.7,91.0,75.83,91,0.481,1,1231,1231,1231,145,1920,1343,1867,666,1124,1321,949,2130,1996,1045,2220,2029,1617,1378,teamgamelogs,2009-10,Advanced
2009-10,1610612746,LAC,Los Angeles Clippers,0020901228,2010-04-14T00:00:00,LAC vs. LAL,W,48.0,113.4,111.5,94.5,94.8,18.9,16.7,0.738,2.58,22.8,0.2,0.672,0.466,0.125,0.56,0.586,95.3,96.0,80.0,96,0.639,1,1,1,1,145,789,362,283,113,221,83,2239,1614,1854,613,452,593,717,193,teamgamelogs,2009-10,Advanced
2009-10,1610612757,POR,Portland Trail Blazers,0020901229,2010-04-14T00:00:00,POR vs. GSW,L,48.0,113.1,113.7,121.2,119.6,-8.1,-5.9,0.727,2.29,22.1,0.244,0.771,0.516,0.137,0.563,0.595,101.6,102.0,85.0,102,0.486,1,1231,1231,1231,145,619,2152,1567,135,356,121,1860,431,908,938,427,483,147,1343,teamgamelogs,2009-10,Advanced
2009-10,1610612748,MIA,Miami Heat,0020901222,2010-04-14T00:00:00,MIA vs. NJN,W,58.0,94.0,95.9,86.8,87.8,7.2,8.2,0.405,1.0,11.5,0.305,0.673,0.482,0.153,0.441,0.47,82.4,81.1,67.59,98,0.536,1,1,1,1,3,2034,94,732,2279,2064,2284,1134,1610,1584,1323,2021,2188,2451,945,teamgamelogs,2009-10,Advanced
2009-10,1610612739,CLE,Cleveland Cavaliers,0020901217,2010-04-14T00:00:00,CLE @ ATL,L,48.0,87.5,87.4,102.6,104.2,-15.1,-16.8,0.581,1.2,14.6,0.25,0.684,0.442,0.158,0.432,0.467,95.7,95.0,79.17,95,0.37,1,1231,1231,1231,145,2373,1024,2183,1071,1766,1716,1781,1435,2172,1434,2109,2209,895,2226,teamgamelogs,2009-10,Advanced
2009-10,1610612747,LAL,Los Angeles Lakers,0020901228,2010-04-14T00:00:00,LAL @ LAC,L,48.0,94.5,94.8,113.4,111.5,-18.9,-16.7,0.588,1.43,14.8,0.328,0.8,0.534,0.146,0.419,0.463,95.3,96.0,80.0,96,0.361,1,1231,1231,1231,145,2097,1667,2178,987,1326,1668,842,192,603,1141,2225,2246,717,2268,teamgamelogs,2009-10,Advanced
2009-10,1610612763,MEM,Memphis Grizzlies,0020901224,2010-04-14T00:00:00,MEM @ OKC,L,48.0,106.6,110.5,121.3,120.0,-14.7,-9.5,0.487,1.9,14.7,0.327,0.725,0.506,0.105,0.465,0.528,96.3,95.0,79.17,95,0.452,1,1231,1231,1231,145,871,2165,1831,1864,652,1691,867,934,1095,284,1743,1460,895,1610,teamgamelogs,2009-10,Advanced
2009-10,1610612756,PHX,Phoenix Suns,0020901230,2010-04-14T00:00:00,PHX @ UTA,W,48.0,106.5,104.2,86.4,89.6,20.1,14.6,0.6,1.4,16.9,0.2,0.706,0.484,0.156,0.541,0.582,96.7,96.0,80.0,96,0.668,1,1,1,1,145,1438,151,358,863,1385,1045,2239,1176,1554,1392,673,634,717,101,teamgamelogs,2009-10,Advanced
2009-10,1610612765,DET,Detroit Pistons,0020901223,2010-04-14T00:00:00,DET @ MIN,W,48.0,110.5,112.0,105.9,107.7,4.6,4.3,0.421,1.23,12.9,0.386,0.675,0.524,0.141,0.506,0.559,92.9,91.5,76.25,92,0.503,1,1,1,1,145,750,1343,1019,2224,1713,2101,282,1546,761,1019,1094,959,1515,1208,teamgamelogs,2009-10,Advanced
2009-10,1610612750,MIN,Minnesota Timberwolves,0020901223,2010-04-14T00:00:00,MIN vs. DET,L,48.0,105.9,107.7,110.5,112.0,-4.6,-4.3,0.605,1.35,18.1,0.325,0.614,0.476,0.187,0.513,0.56,92.9,91.5,76.25,91,0.497,1,1231,1231,1231,145,1110,1703,1442,830,1483,734,910,2167,1688,2031,1001,948,1515,1253,teamgamelogs,2009-10,Advanced
