season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,endpoint,input_season,input_measure
2010-11,1610612746,LAC,Los Angeles Clippers,0021001228,2011-04-13T00:00:00,LAC vs. MEM,W,48.0,0.562,0.333,0.189,0.317,0.47,0.333,0.216,0.44,1,1,1,1,163,403,872,2056,983,814,1549,129,2388,teamgamelogs,2010-11,Four Factors
2010-11,1610612759,SAS,San Antonio Spurs,0021001229,2011-04-13T00:00:00,SAS @ PHX,L,48.0,0.457,0.451,0.086,0.308,0.446,0.315,0.065,0.31,1,1231,1231,1231,163,1819,204,98,1099,501,1417,2440,1388,teamgamelogs,2010-11,Four Factors
2010-11,1610612756,PHX,Phoenix Suns,0021001229,2011-04-13T00:00:00,PHX vs. SAS,W,48.0,0.446,0.315,0.065,0.31,0.457,0.451,0.086,0.308,1,1,1,1,163,1959,1042,18,1070,636,2256,2358,1337,teamgamelogs,2010-11,Four Factors
2010-11,1610612743,DEN,Denver Nuggets,0021001226,2011-04-13T00:00:00,DEN @ UTA,L,48.0,0.526,0.338,0.17,0.3,0.558,0.338,0.17,0.286,1,1231,1231,1231,163,818,836,1696,1196,2014,1616,748,1047,teamgamelogs,2010-11,Four Factors
2010-11,1610612765,DET,Detroit Pistons,0021001220,2011-04-13T00:00:00,DET @ PHI,W,48.0,0.526,0.408,0.116,0.19,0.473,0.176,0.094,0.264,1,1,1,1,163,811,355,420,2282,842,219,2305,790,teamgamelogs,2010-11,Four Factors
2010-11,1610612750,MIN,Minnesota Timberwolves,0021001224,2011-04-13T00:00:00,MIN vs. HOU,L,48.0,0.467,0.228,0.147,0.278,0.571,0.381,0.147,0.304,1,1231,1231,1231,163,1686,1864,1121,1494,2140,1934,1336,1296,teamgamelogs,2010-11,Four Factors
2010-11,1610612764,WAS,Washington Wizards,0021001218,2011-04-13T00:00:00,WAS @ CLE,L,48.0,0.456,0.167,0.172,0.415,0.452,0.349,0.14,0.36,1,1231,1231,1231,163,1846,2269,1734,165,562,1713,1499,1931,teamgamelogs,2010-11,Four Factors
2010-11,1610612757,POR,Portland Trail Blazers,0021001227,2011-04-13T00:00:00,POR @ GSW,L,48.0,0.404,0.301,0.219,0.379,0.568,0.17,0.125,0.273,1,1231,1231,1231,163,2305,1174,2345,361,2121,200,1846,908,teamgamelogs,2010-11,Four Factors
2010-11,1610612744,GSW,Golden State Warriors,0021001227,2011-04-13T00:00:00,GSW vs. POR,W,48.0,0.568,0.17,0.125,0.273,0.404,0.301,0.219,0.379,1,1,1,1,163,340,2259,588,1533,156,1285,111,2096,teamgamelogs,2010-11,Four Factors
2010-11,1610612748,MIA,Miami Heat,0021001221,2011-04-13T00:00:00,MIA @ TOR,W,48.0,0.537,0.173,0.176,0.4,0.445,0.531,0.195,0.302,1,1,1,1,163,665,2250,1829,232,499,2386,330,1270,teamgamelogs,2010-11,Four Factors
