season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,endpoint,input_season,input_measure
2012-13,1610612756,PHX,Phoenix Suns,0021201227,2013-04-17T00:00:00,PHX @ DEN,L,48.0,0.76,0.24,0.673,0.265,0.214,0.102,0.112,0.122,0.408,0.667,0.333,1.0,0.0,0.725,0.275,1,1230,1230,1230,151,1264,1195,614,376,1197,1660,2097,1939,1370,275,2141,1,1528,233,2215,teamgamelogs,2012-13,Scoring
2012-13,1610612740,NOH,New Orleans Hornets,0021201224,2013-04-17T00:00:00,NOH @ DAL,L,48.0,0.869,0.131,0.621,0.092,0.138,0.138,0.241,0.184,0.529,0.333,0.667,0.5,0.5,0.355,0.645,1,1230,1230,1230,151,84,2374,1151,2211,1992,1089,273,973,295,2342,100,2337,47,2428,29,teamgamelogs,2012-13,Scoring
2012-13,1610612746,LAC,Los Angeles Clippers,0021201229,2013-04-17T00:00:00,LAC @ SAC,W,48.0,0.727,0.273,0.571,0.161,0.321,0.232,0.107,0.143,0.411,0.469,0.531,0.833,0.167,0.568,0.432,1,1,1,1,151,1709,737,1684,1530,287,171,2144,1630,1343,1767,681,1417,897,1500,956,teamgamelogs,2012-13,Scoring
2012-13,1610612760,OKC,Oklahoma City Thunder,0021201226,2013-04-17T00:00:00,OKC vs. MIL,L,48.0,0.764,0.236,0.764,0.202,0.101,0.045,0.135,0.135,0.562,0.412,0.588,0.667,0.333,0.432,0.568,1,1230,1230,1230,151,1200,1253,108,998,2257,2324,1778,1759,150,2096,352,2091,238,2316,137,teamgamelogs,2012-13,Scoring
2012-13,1610612757,POR,Portland Trail Blazers,0021201230,2013-04-17T00:00:00,POR vs. GSW,L,48.0,0.854,0.146,0.659,0.273,0.205,0.023,0.136,0.102,0.386,0.448,0.552,0.833,0.167,0.514,0.486,1,1230,1230,1230,151,173,2282,740,318,1289,2415,1753,2155,1619,1893,544,1417,897,1959,484,teamgamelogs,2012-13,Scoring
2012-13,1610612748,MIA,Miami Heat,0021201220,2013-04-17T00:00:00,MIA vs. ORL,W,48.0,0.628,0.372,0.571,0.114,0.343,0.114,0.086,0.162,0.457,0.633,0.367,1.0,0.0,0.738,0.262,1,1,1,1,151,2328,129,1684,2038,189,1471,2314,1322,874,463,1982,1,1528,189,2266,teamgamelogs,2012-13,Scoring
2012-13,1610612765,DET,Detroit Pistons,0021201217,2013-04-17T00:00:00,DET @ BKN,L,48.0,0.833,0.167,0.727,0.081,0.03,0.273,0.242,0.273,0.646,0.444,0.556,1.0,0.0,0.459,0.541,1,1230,1230,1230,151,314,2129,235,2292,2450,49,263,88,25,1920,518,1,1528,2240,212,teamgamelogs,2012-13,Scoring
2012-13,1610612747,LAL,Los Angeles Lakers,0021201228,2013-04-17T00:00:00,LAL vs. HOU,W,53.0,0.644,0.356,0.465,0.081,0.303,0.0,0.232,0.111,0.384,0.739,0.261,1.0,0.0,0.818,0.182,1,1,1,1,29,2272,185,2335,2292,390,2444,338,2069,1653,95,2361,1,1528,27,2430,teamgamelogs,2012-13,Scoring
2012-13,1610612742,DAL,Dallas Mavericks,0021201224,2013-04-17T00:00:00,DAL vs. NOH,W,48.0,0.805,0.195,0.727,0.202,0.182,0.162,0.091,0.263,0.525,0.5,0.5,1.0,0.0,0.571,0.429,1,1,1,1,151,621,1829,235,1005,1543,772,2284,135,317,1459,869,1,1528,1471,960,teamgamelogs,2012-13,Scoring
2012-13,1610612764,WAS,Washington Wizards,0021201222,2013-04-17T00:00:00,WAS @ CHI,L,48.0,0.812,0.188,0.63,0.304,0.228,0.098,0.141,0.217,0.326,0.379,0.621,0.857,0.143,0.472,0.528,1,1230,1230,1230,151,543,1908,1049,163,1055,1722,1654,470,2137,2229,219,1280,1056,2189,260,teamgamelogs,2012-13,Scoring
